worker_id,category,user_zone,worker_zone,available,weekly_gigs,rating,completed_jobs,acceptance_rate,cancellation_rate,response_minutes,price,budget,distance_km,successful_booking
130,Carpenter,North,West,0,13,5.0,168,0.93,0.14,15,584,1361,9.4,1
227,Plumber,South,East,1,14,3.6,178,0.74,0.01,163,1446,790,17.9,0
8,Mechanic,North,South,0,14,3.2,30,0.82,0.05,76,1242,859,10.7,0
242,Electrician,West,South,1,14,4.2,191,0.94,0.26,72,1049,996,23.4,0
2,Carpenter,East,West,0,7,4.1,88,0.67,0.23,98,1132,959,21.8,0
123,Mechanic,South,West,1,11,3.9,97,0.69,0.2,168,511,1314,24.1,0
170,Plumber,West,North,1,7,3.0,36,0.7,0.2,41,353,1261,19.6,0
204,Plumber,East,West,0,10,4.4,194,0.74,0.16,160,340,780,16.0,0
117,Plumber,West,North,1,11,4.7,113,0.58,0.09,9,294,964,20.0,1
192,Mechanic,South,South,1,9,4.4,46,0.58,0.02,99,1469,793,12.7,0
119,Mechanic,East,West,1,0,4.8,119,0.95,0.2,42,351,1204,23.7,0
154,Mechanic,East,West,1,3,5.0,123,0.55,0.11,93,1377,905,24.8,1
203,Carpenter,North,North,0,11,4.0,73,0.89,0.07,92,648,689,15.7,0
71,Plumber,North,East,1,0,4.2,187,0.57,0.27,85,1050,659,5.4,0
188,Carpenter,South,East,0,7,4.9,75,0.87,0.1,31,1159,454,3.9,0
204,Carpenter,North,West,1,8,3.2,94,0.84,0.2,151,980,1060,3.2,0
13,Carpenter,South,North,1,7,4.8,77,0.82,0.04,13,276,923,24.9,1
121,Electrician,West,West,1,11,4.4,138,0.71,0.22,41,1049,502,20.9,0
144,Plumber,East,South,1,3,4.7,25,0.99,0.11,167,934,424,10.3,0
63,Mechanic,North,South,1,9,4.9,12,0.89,0.07,34,1356,720,2.2,0
107,Electrician,South,East,1,12,4.8,0,0.64,0.3,35,1306,813,20.1,1
14,Electrician,North,East,1,3,4.2,4,0.59,0.02,109,1277,532,18.8,0
186,Plumber,West,South,0,0,4.5,168,0.76,0.14,9,324,1280,21.3,1
56,Mechanic,West,North,0,5,4.2,16,0.56,0.19,151,1323,965,9.8,0
151,Mechanic,West,North,1,1,4.7,166,0.94,0.17,57,1080,1224,22.3,1
233,Mechanic,West,North,1,5,4.3,95,0.98,0.21,123,337,486,20.9,1
50,Carpenter,South,North,1,8,4.1,171,0.56,0.11,172,1066,405,24.2,0
181,Plumber,South,South,1,3,4.7,89,0.92,0.11,73,1375,763,20.3,0
286,Plumber,East,North,1,11,4.5,86,0.68,0.05,38,1359,1120,2.2,0
16,Plumber,South,West,1,5,3.3,79,0.86,0.23,147,1421,473,22.1,0
26,Plumber,East,West,1,7,4.2,106,0.64,0.23,31,906,1180,3.2,0
250,Carpenter,North,South,1,9,3.1,52,0.65,0.06,37,723,892,8.5,1
221,Electrician,South,West,1,3,4.0,171,0.9,0.02,12,1093,338,11.8,1
161,Mechanic,West,West,1,6,3.0,83,0.59,0.28,119,941,480,11.2,0
224,Mechanic,North,West,0,11,3.7,85,0.89,0.02,164,433,1386,13.0,0
179,Carpenter,South,South,1,4,3.4,154,0.58,0.23,21,562,1586,12.6,0
297,Mechanic,East,East,1,1,3.9,161,0.65,0.08,16,920,1339,2.3,1
20,Plumber,East,East,1,13,5.0,23,0.81,0.15,120,1388,1435,23.9,0
22,Mechanic,South,East,1,8,3.3,15,0.73,0.24,89,372,1333,16.3,1
225,Mechanic,South,East,1,4,3.8,198,0.67,0.18,163,885,434,8.6,0
198,Carpenter,East,South,1,9,4.3,89,0.66,0.2,171,1002,564,15.1,0
159,Mechanic,East,South,1,13,4.9,175,0.96,0.03,173,1067,1341,9.4,1
93,Electrician,East,West,1,2,3.3,75,0.92,0.03,140,1278,377,16.7,0
68,Mechanic,South,South,1,11,4.5,42,0.86,0.01,95,686,1209,15.5,0
230,Electrician,South,East,0,12,3.9,49,0.68,0.28,114,1145,877,19.6,0
215,Electrician,South,South,0,0,4.3,95,0.78,0.03,134,455,883,2.6,1
231,Electrician,West,North,0,3,4.6,89,0.97,0.12,103,1228,1065,6.3,0
192,Electrician,North,East,0,13,4.4,85,0.9,0.04,75,1167,584,19.1,0
3,Plumber,North,East,1,2,4.1,186,0.8,0.13,75,686,916,3.5,1
235,Plumber,North,West,1,0,4.3,147,0.62,0.04,111,203,1559,9.1,0
96,Plumber,East,North,0,8,4.0,129,0.78,0.12,122,289,1092,24.5,0
9,Carpenter,North,East,1,10,4.3,197,0.79,0.23,36,290,1021,13.9,0
90,Mechanic,West,South,1,1,4.4,117,0.52,0.06,53,285,946,23.4,0
279,Mechanic,East,North,1,3,3.6,199,0.52,0.2,71,454,1053,11.2,0
226,Mechanic,East,South,1,7,3.7,132,0.63,0.02,110,361,1181,15.3,0
280,Carpenter,East,North,1,10,3.6,114,0.8,0.13,178,1109,1019,11.5,0
181,Mechanic,East,North,1,10,3.8,131,0.9,0.2,9,492,1544,17.1,1
65,Plumber,South,East,1,9,3.1,39,0.84,0.28,97,1109,457,14.6,0
204,Carpenter,East,South,0,0,4.5,127,0.76,0.27,32,736,833,17.7,1
147,Mechanic,South,North,1,1,3.9,182,0.72,0.03,176,854,1011,17.9,0
149,Carpenter,South,South,1,8,3.4,51,0.9,0.07,128,253,1039,14.1,0
283,Electrician,North,North,1,11,4.4,134,0.71,0.12,149,351,556,24.3,0
231,Mechanic,East,South,0,12,4.1,150,0.59,0.29,112,1229,413,20.9,0
156,Electrician,South,East,0,3,3.7,132,0.95,0.25,66,602,1600,23.9,0
156,Plumber,South,South,1,9,4.4,154,0.67,0.28,12,258,466,1.6,1
296,Carpenter,South,West,1,0,4.0,160,0.77,0.19,79,1189,801,20.2,0
153,Mechanic,North,North,1,6,4.0,52,0.67,0.04,83,907,1116,3.7,1
288,Plumber,East,South,1,4,3.9,36,0.55,0.09,100,1460,1156,6.6,0
82,Carpenter,East,South,1,7,5.0,119,0.75,0.09,7,384,1105,12.9,0
111,Carpenter,North,North,1,9,4.8,167,0.84,0.09,4,420,1182,3.8,1
188,Mechanic,East,North,1,9,4.1,92,0.78,0.02,131,1122,1426,7.4,0
61,Electrician,North,West,1,5,4.1,93,0.88,0.06,132,1022,1324,1.5,1
171,Mechanic,West,South,1,8,3.3,156,0.66,0.12,159,812,1515,8.7,0
273,Mechanic,East,West,1,5,3.7,28,0.99,0.18,178,1488,354,15.1,0
297,Electrician,North,West,1,10,4.4,198,0.92,0.04,176,696,364,14.5,0
98,Plumber,West,East,1,6,4.4,105,0.75,0.18,122,327,582,13.2,0
245,Mechanic,East,South,1,8,3.7,90,0.84,0.26,176,741,1549,12.4,0
143,Carpenter,South,East,1,11,3.4,180,0.74,0.14,145,760,889,3.5,0
195,Mechanic,East,South,1,4,4.9,20,0.67,0.13,67,1181,738,5.5,0
288,Carpenter,South,North,1,9,3.5,12,0.83,0.16,165,676,407,3.0,0
242,Plumber,South,North,0,14,3.3,167,0.97,0.26,124,608,888,8.4,0
46,Electrician,North,South,1,13,3.4,9,1.0,0.12,128,581,892,22.0,1
291,Plumber,East,East,1,10,4.1,126,0.94,0.04,131,1158,858,5.2,1
84,Mechanic,East,South,1,5,4.6,145,0.84,0.06,158,1030,1175,13.1,1
49,Electrician,South,West,1,3,3.0,98,0.62,0.23,86,818,1492,18.2,1
185,Electrician,North,North,1,2,3.8,128,0.96,0.27,81,440,904,9.5,1
69,Mechanic,South,West,1,9,3.7,179,0.77,0.14,139,647,806,17.2,0
42,Mechanic,East,North,0,1,3.1,140,0.95,0.06,139,506,636,8.5,0
60,Electrician,West,North,0,7,4.6,116,0.57,0.12,146,318,1444,11.8,0
12,Mechanic,East,North,1,9,3.1,108,0.67,0.02,17,341,1266,1.3,0
70,Mechanic,East,West,1,14,4.8,96,0.54,0.29,140,472,1012,3.4,0
202,Electrician,South,North,1,4,3.9,184,0.77,0.16,60,706,1243,9.0,1
58,Plumber,West,North,1,1,3.2,8,0.72,0.2,14,701,390,10.4,0
112,Plumber,South,East,1,14,4.5,81,0.79,0.23,84,685,918,22.0,0
267,Electrician,West,East,1,8,4.9,188,0.96,0.19,111,1338,1315,1.6,1
196,Carpenter,West,West,1,6,3.4,137,0.74,0.25,78,495,1248,22.9,0
214,Electrician,West,South,1,5,4.3,115,0.92,0.03,50,305,849,9.7,1
21,Plumber,South,South,1,13,4.8,77,0.98,0.0,50,440,1280,22.9,1
105,Mechanic,South,East,1,6,3.9,166,0.68,0.08,133,1218,1254,2.9,0
241,Carpenter,South,East,1,0,4.1,56,0.87,0.0,143,1396,1486,18.1,0
101,Carpenter,South,West,1,3,4.0,167,0.97,0.1,127,1204,1243,4.6,0
87,Electrician,West,South,0,8,5.0,15,0.76,0.25,21,299,313,10.6,0
119,Plumber,South,North,1,7,3.7,158,0.82,0.28,125,1199,332,0.7,0
7,Plumber,East,East,1,13,4.4,110,0.9,0.27,29,397,1373,4.1,1
270,Carpenter,East,East,1,1,3.7,103,0.73,0.07,180,662,914,17.3,0
17,Plumber,West,West,1,7,3.1,2,0.85,0.02,113,878,1458,24.4,0
271,Plumber,South,South,0,11,4.8,121,0.64,0.28,177,774,1412,14.3,1
162,Plumber,South,South,1,11,4.6,19,0.65,0.17,147,996,1407,8.6,0
72,Plumber,East,North,1,3,4.7,87,0.8,0.18,154,1012,968,1.2,1
231,Mechanic,South,East,1,6,3.9,174,0.79,0.11,160,804,804,18.0,1
79,Mechanic,South,West,1,1,3.2,78,0.72,0.23,28,471,478,5.1,0
285,Mechanic,North,North,1,8,3.2,153,0.89,0.26,5,797,1147,10.0,1
287,Electrician,South,West,1,4,3.6,126,0.57,0.05,72,1062,913,12.4,1
129,Electrician,West,South,1,2,3.6,101,0.67,0.19,86,1101,985,11.1,0
70,Carpenter,East,South,1,2,4.9,81,0.65,0.21,127,1379,796,8.5,0
202,Carpenter,North,South,1,8,3.4,196,0.78,0.29,120,629,1197,20.0,0
36,Mechanic,West,South,1,3,3.5,39,0.86,0.24,20,1119,1524,12.2,0
260,Mechanic,North,East,1,12,4.1,163,0.96,0.03,65,927,640,16.4,1
205,Carpenter,West,North,1,4,3.4,191,0.76,0.17,149,652,1212,9.7,0
257,Electrician,East,North,1,4,3.8,21,0.56,0.28,38,913,938,8.9,0
267,Mechanic,East,West,1,11,4.4,81,0.53,0.01,31,246,1002,16.4,0
85,Electrician,South,South,1,6,4.9,59,0.9,0.19,49,1085,1110,1.2,1
102,Mechanic,West,West,1,3,3.4,192,0.85,0.24,149,408,1399,5.1,1
235,Plumber,East,West,1,10,3.6,99,0.81,0.18,91,920,1237,15.6,0
153,Plumber,South,East,1,4,3.2,95,0.85,0.15,109,1421,582,14.6,0
250,Electrician,South,West,1,2,3.6,115,0.81,0.26,4,1192,579,5.3,0
288,Mechanic,West,West,1,13,3.9,42,0.54,0.01,58,798,366,7.2,0
87,Mechanic,West,North,1,4,4.6,93,0.77,0.23,114,1318,747,24.7,1
127,Carpenter,North,West,1,13,4.6,112,0.93,0.04,62,629,1504,17.4,0
220,Electrician,South,South,1,12,3.1,89,0.77,0.18,45,862,899,7.6,1
264,Plumber,South,West,0,4,4.7,32,0.85,0.04,39,859,806,19.2,0
251,Electrician,East,West,1,1,4.3,196,0.55,0.15,73,955,1231,23.8,1
2,Plumber,West,East,0,12,4.1,55,0.98,0.25,128,749,961,20.8,0
296,Electrician,West,East,0,12,3.1,25,0.81,0.25,6,454,623,11.3,1
220,Electrician,South,East,1,14,4.8,23,0.83,0.08,97,538,406,10.2,1
120,Mechanic,North,North,1,7,3.2,151,0.61,0.2,4,216,1003,20.5,0
217,Electrician,West,North,1,1,4.5,26,0.55,0.11,78,480,1083,19.4,0
69,Electrician,North,North,1,2,3.9,184,0.61,0.22,107,1461,1206,21.6,1
52,Electrician,North,West,1,6,3.6,35,0.62,0.19,65,1333,1530,15.2,0
14,Carpenter,South,South,1,4,4.3,61,0.75,0.03,129,1416,445,13.4,0
185,Carpenter,South,West,0,9,3.8,139,0.84,0.23,20,234,1502,2.2,1
21,Plumber,West,East,1,8,4.5,108,0.85,0.02,139,1301,1561,4.2,1
41,Electrician,South,East,1,10,4.5,166,0.84,0.02,180,1095,788,1.9,1
223,Plumber,West,North,1,11,4.3,44,0.56,0.21,4,535,1316,23.8,0
133,Electrician,East,South,1,13,3.5,30,0.89,0.01,111,757,1372,2.1,0
296,Plumber,West,West,1,0,4.0,145,0.58,0.05,28,1375,536,6.1,0
23,Plumber,South,North,1,6,4.8,45,0.97,0.26,143,1058,759,8.4,0
164,Carpenter,North,East,1,10,4.8,45,0.61,0.15,13,1021,441,22.0,0
160,Carpenter,North,West,1,3,3.6,77,0.87,0.07,96,1411,1310,24.9,0
280,Electrician,South,North,0,0,3.5,88,0.82,0.21,4,886,302,19.1,0
158,Plumber,South,South,1,0,4.9,36,0.86,0.03,61,1264,1145,17.7,1
44,Plumber,South,West,1,9,3.1,169,0.98,0.07,68,845,1104,17.7,0
163,Mechanic,East,South,1,3,3.3,197,0.79,0.05,44,1120,1254,8.2,1
184,Electrician,West,East,1,13,3.2,40,0.9,0.09,180,1435,382,5.8,0
76,Plumber,South,East,1,0,4.4,66,0.91,0.05,105,1126,1438,18.8,1
237,Plumber,South,North,1,13,4.6,56,0.57,0.25,97,1490,472,14.8,0
39,Plumber,North,South,0,7,4.6,23,0.95,0.25,86,450,387,23.6,1
294,Mechanic,West,West,1,10,3.9,90,0.61,0.06,73,1113,604,1.3,0
126,Carpenter,West,West,0,7,3.1,71,0.69,0.13,166,1276,810,16.0,0
10,Mechanic,East,West,1,7,3.7,144,0.75,0.12,48,253,953,15.1,1
144,Plumber,West,East,1,3,4.9,25,0.62,0.07,138,314,749,14.6,0
199,Carpenter,South,South,1,5,4.6,178,0.68,0.18,92,1362,1454,4.0,0
253,Carpenter,South,West,1,0,3.5,56,0.51,0.14,86,1457,712,20.3,0
91,Carpenter,North,North,1,11,4.8,198,0.56,0.16,95,348,1065,17.8,1
52,Carpenter,East,East,1,2,4.5,111,0.9,0.29,168,849,656,17.8,0
183,Electrician,South,West,1,11,3.6,45,0.86,0.28,148,1001,1462,1.3,0
114,Plumber,West,South,1,1,3.5,81,0.58,0.27,24,887,1214,0.8,1
35,Carpenter,East,North,1,0,3.8,187,0.71,0.05,107,1209,1075,9.1,1
246,Electrician,South,West,1,13,3.1,5,0.66,0.29,20,900,648,22.3,0
39,Plumber,East,West,1,6,4.9,42,0.8,0.13,15,407,978,5.5,1
284,Carpenter,East,East,1,0,3.8,140,0.92,0.05,94,207,1175,2.6,0
246,Electrician,North,North,1,10,3.6,20,0.74,0.03,103,1164,1301,22.4,0
279,Mechanic,South,East,0,5,3.4,11,0.63,0.14,59,750,1455,2.0,0
50,Plumber,East,West,0,9,3.5,15,0.92,0.25,109,1296,1272,14.5,0
154,Plumber,West,North,1,14,4.0,146,0.84,0.19,32,1119,654,23.8,1
109,Electrician,South,North,1,10,3.9,160,0.57,0.18,83,337,478,10.0,0
167,Carpenter,West,North,1,9,4.2,107,0.56,0.04,147,1404,1493,19.1,0
55,Plumber,East,East,0,4,3.8,124,0.79,0.14,46,764,1125,4.0,0
206,Plumber,West,East,1,0,4.5,68,0.95,0.01,79,836,874,21.1,0
51,Electrician,South,East,0,7,4.5,82,0.63,0.13,167,382,684,11.3,0
209,Mechanic,East,North,1,2,3.1,181,0.75,0.04,136,1364,359,4.8,0
103,Plumber,South,North,1,14,3.7,50,0.64,0.25,131,1012,553,17.2,0
251,Mechanic,South,West,1,5,3.7,66,0.87,0.21,74,256,1091,1.7,0
110,Electrician,South,South,1,6,4.0,199,0.98,0.2,123,470,654,15.2,1
130,Carpenter,East,West,0,13,3.7,64,0.61,0.09,135,1477,1113,14.8,1
192,Carpenter,East,North,1,5,5.0,163,0.66,0.08,169,811,685,4.2,0
30,Mechanic,East,South,1,10,4.0,75,0.63,0.13,101,272,1494,17.8,0
98,Carpenter,South,West,0,10,3.7,76,0.92,0.25,144,570,901,2.9,0
133,Electrician,East,North,1,3,4.5,78,0.71,0.27,97,733,1499,7.7,0
241,Plumber,North,West,0,8,3.2,174,0.69,0.09,15,508,581,24.8,0
292,Mechanic,South,East,0,2,4.6,124,0.67,0.3,82,1499,418,0.6,0
87,Electrician,West,North,1,6,4.3,103,0.71,0.14,3,277,1393,5.4,1
8,Carpenter,South,North,1,10,4.5,57,0.85,0.1,35,410,1085,12.8,1
34,Plumber,East,East,1,8,4.2,86,0.72,0.21,36,901,1303,9.3,1
207,Plumber,South,South,1,2,3.4,5,0.79,0.05,95,276,1068,22.0,0
274,Plumber,North,North,1,0,3.1,29,0.71,0.11,142,717,1271,17.7,0
5,Carpenter,West,North,1,4,4.2,179,0.57,0.25,28,1247,1565,3.4,1
55,Mechanic,South,South,1,13,4.0,51,0.68,0.12,43,280,1422,12.7,1
247,Carpenter,South,North,1,1,4.8,146,0.83,0.04,25,1247,453,18.2,1
132,Electrician,West,East,1,0,3.2,44,0.94,0.26,94,840,1172,18.6,0
24,Plumber,South,South,1,14,3.9,159,0.63,0.22,97,901,674,3.3,1
234,Carpenter,West,West,1,10,4.8,42,0.56,0.21,17,526,512,10.7,1
292,Mechanic,South,West,1,9,3.1,175,0.94,0.22,35,1189,1299,3.3,1
24,Plumber,East,East,1,13,4.4,196,0.87,0.22,59,892,1363,13.3,1
49,Mechanic,South,West,1,10,4.3,38,0.92,0.17,158,311,323,16.3,1
241,Mechanic,South,North,1,5,3.5,71,0.53,0.07,166,975,1125,20.5,0
228,Mechanic,North,West,1,1,5.0,190,0.83,0.03,107,273,1441,14.0,0
156,Electrician,West,East,1,0,4.6,116,0.67,0.23,155,1168,1044,18.0,1
114,Plumber,East,East,1,12,3.6,133,0.69,0.03,44,1208,587,20.6,0
210,Plumber,East,South,1,14,4.7,55,0.73,0.23,88,420,1148,1.6,0
64,Mechanic,West,South,0,0,4.1,12,0.78,0.13,151,1189,1341,19.6,0
297,Electrician,South,North,1,9,4.2,82,0.75,0.12,157,708,860,10.2,0
151,Mechanic,South,South,1,11,4.8,131,0.65,0.21,82,1333,1595,5.8,1
149,Carpenter,South,South,1,11,4.3,181,0.56,0.11,124,1393,1468,23.6,0
274,Carpenter,West,North,1,0,3.8,13,0.84,0.06,43,786,813,4.1,1
152,Electrician,North,East,1,1,4.2,172,0.87,0.26,167,1349,1096,6.3,0
148,Plumber,West,West,1,12,5.0,80,0.98,0.02,66,615,1570,21.8,0
227,Electrician,East,South,1,3,3.6,45,0.99,0.02,46,1252,544,9.7,0
285,Carpenter,South,South,1,4,3.0,119,0.85,0.05,41,860,1522,1.7,0
155,Mechanic,East,North,1,5,4.1,47,0.76,0.24,42,1051,1412,13.7,1
114,Electrician,East,East,1,3,4.9,158,0.77,0.3,168,218,534,16.9,1
125,Plumber,East,West,0,1,3.8,138,0.86,0.01,134,967,1353,20.2,0
23,Carpenter,South,East,1,1,3.3,197,0.77,0.0,18,631,1589,19.5,0
218,Plumber,South,West,1,1,4.5,39,0.51,0.22,11,379,450,1.8,0
286,Plumber,South,East,1,7,4.3,110,0.66,0.12,32,1295,312,16.2,0
300,Plumber,North,East,0,1,3.6,175,0.65,0.03,114,981,1109,20.6,1
81,Electrician,South,West,1,13,4.1,162,0.57,0.2,167,964,322,14.1,0
64,Plumber,North,West,1,1,3.6,191,0.87,0.22,56,1045,1349,4.0,1
130,Electrician,North,South,1,9,4.7,192,0.97,0.3,120,1325,449,7.6,1
51,Electrician,West,East,1,10,4.3,25,0.64,0.02,51,850,1295,11.5,0
157,Electrician,East,East,0,2,3.0,63,0.89,0.21,166,1093,866,21.1,0
170,Mechanic,West,West,1,4,4.0,27,0.59,0.18,73,486,1403,5.3,0
40,Plumber,North,North,1,9,3.8,151,0.61,0.01,68,1313,1405,12.1,0
188,Mechanic,South,East,1,8,4.0,101,0.68,0.0,63,1457,639,19.1,1
82,Electrician,South,West,0,0,3.4,124,0.62,0.08,61,287,723,13.2,0
199,Mechanic,West,North,1,10,3.6,180,0.98,0.19,72,739,1485,13.8,1
194,Carpenter,North,East,1,14,3.4,103,0.68,0.26,126,1187,1537,0.7,0
226,Electrician,South,North,1,4,3.4,47,0.58,0.18,32,671,1149,20.4,0
247,Mechanic,West,South,1,10,4.7,5,0.62,0.04,153,529,575,15.9,1
294,Electrician,North,South,1,2,4.0,103,0.8,0.17,6,780,475,5.8,0
242,Mechanic,South,South,1,9,3.3,149,0.91,0.05,170,1246,841,4.6,0
233,Plumber,South,West,1,1,3.0,133,0.93,0.15,109,506,1540,2.9,0
20,Plumber,North,West,1,14,4.2,0,0.95,0.23,168,1083,1369,10.8,0
272,Mechanic,South,West,1,6,3.7,189,0.95,0.25,149,400,1171,3.8,0
120,Plumber,East,West,1,0,4.4,1,0.79,0.04,3,968,720,17.4,1
186,Plumber,South,West,1,4,3.5,137,0.71,0.11,72,1013,717,10.6,0
248,Electrician,East,West,1,4,4.2,198,0.85,0.22,170,443,770,11.4,0
83,Plumber,South,West,1,12,4.1,178,0.84,0.02,101,210,486,20.7,1
223,Plumber,North,East,1,1,4.2,185,0.69,0.3,159,1267,886,17.9,0
90,Mechanic,West,North,1,10,4.9,132,0.64,0.01,155,1245,1356,17.6,0
19,Carpenter,South,North,0,1,5.0,199,0.7,0.2,105,1400,710,13.2,0
36,Plumber,East,East,1,13,3.6,155,0.98,0.14,105,1377,309,6.9,0
55,Plumber,East,East,0,12,4.0,65,0.94,0.24,149,712,1206,24.2,0
125,Carpenter,West,West,0,13,3.1,29,0.63,0.11,58,670,946,10.6,0
275,Plumber,East,South,1,6,4.3,87,0.54,0.28,123,842,1024,5.9,0
94,Electrician,West,South,1,3,4.7,52,0.61,0.25,160,929,619,19.6,0
41,Mechanic,North,North,1,5,4.2,126,0.95,0.26,149,762,1305,5.0,0
262,Carpenter,West,South,1,2,3.1,108,0.74,0.16,130,911,1106,21.6,0
235,Plumber,West,East,1,0,4.3,97,0.79,0.1,158,731,683,13.9,1
242,Carpenter,East,South,1,3,3.8,192,0.69,0.26,73,1123,668,14.5,0
118,Plumber,East,South,1,13,3.8,37,0.9,0.22,123,219,661,10.8,1
265,Carpenter,West,East,1,13,4.1,101,0.55,0.05,57,720,1275,21.1,1
172,Carpenter,East,East,1,14,4.6,88,0.51,0.04,175,1440,707,14.6,0
276,Electrician,East,East,1,8,4.0,188,0.72,0.02,159,786,1249,16.0,1
86,Carpenter,West,West,1,1,3.2,87,0.61,0.1,76,747,1539,16.3,0
228,Carpenter,West,West,1,13,3.0,186,0.62,0.08,22,631,641,10.2,1
243,Plumber,North,West,1,1,3.2,158,0.58,0.2,101,833,769,6.6,0
65,Electrician,South,North,1,5,4.7,83,0.93,0.14,140,757,1423,11.4,0
277,Electrician,West,West,1,10,4.1,88,0.74,0.07,24,1104,930,9.5,1
156,Plumber,North,South,1,7,4.1,176,0.96,0.28,124,813,318,19.3,0
